asset_id,source_path,source_sha256,source_bytes,batch,planning_status,intended_use,acceptance
ARC-016,FRWF_Asset_Completion/architecture/ARC-016_chainlink_panel.glb,b6adad302fe32cf8bfa8de2980b7606f9d7fd0b4fde1571f52d7625ebf03fc16,6234256,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
HER-001,FRWF_Asset_Completion/hero/HER-001_utility_door.glb,8fd0a98bdcdad79fa420f6999edc880267af694050f94905308f32af0eaf4a13,6625264,E,planned; runtime acceptance pending,Venue focal object; interaction only where implemented,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
HER-002,FRWF_Asset_Completion/hero/HER-002_backstage_curtain.glb,a71e983aca89183ece8837ec505fe5a62b4567a469a75148c101b3c37caba7d0,12158760,E,planned; runtime acceptance pending,Venue focal object; interaction only where implemented,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
HER-003,FRWF_Asset_Completion/hero/HER-003_chainlink_gate.glb,a430b615f085e5f447a4021ab7173801a7b412b1617bcce240d647841bf574af,6936304,E,planned; runtime acceptance pending,Venue focal object; interaction only where implemented,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
HER-004,FRWF_Asset_Completion/hero/HER-004_service_pipe_bank.glb,f7d9ffcb142544079035533e24de02706faa89918c186e1f92c825b75cf6cfca,10314124,E,planned; runtime acceptance pending,Venue focal object; interaction only where implemented,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
HER-005,FRWF_Asset_Completion/hero/HER-005_frwf_wall_banner.glb,35c7737c78c54596f98d5a46df1a5edb55a4174c8bb3902bb9d9bdb6833b35df,5304036,E,planned; runtime acceptance pending,Venue focal object; interaction only where implemented,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-001,FRWF_Asset_Completion/props/PRP-001_folding_chair.glb,9b0225e42f869c92da0f870218f7fc3c268f67c6f6ab85f33940c0b233916c2d,9913748,A,imported; full interaction unaccepted,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-002,FRWF_Asset_Completion/props/PRP-002_folding_table.glb,d62538b62f562e70d0ac7b228b5d7b0d0b81110ca6923b2ac4e328beba0c10ac,7984860,A,imported; full interaction unaccepted,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-003,FRWF_Asset_Completion/props/PRP-003_steel_drum.glb,f18b3d19d775d4c500300dab0bd23f53090e65290f3327ce421672dc3fdd5f37,6824580,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-004,FRWF_Asset_Completion/props/PRP-004_trash_can.glb,ed15de0fbc6bfe74636925fcd032af30db82c40fb133696872e5c9cef7a7a690,5981376,A,imported; full interaction unaccepted,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-006,FRWF_Asset_Completion/props/PRP-006_toolbox.glb,9f5c51b8cda00c78c4c3ff5658e0c6c809a911aa540ff40317094b84e022f435,5767324,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-007,FRWF_Asset_Completion/props/PRP-007_wood_crate.glb,a65614c74d632c5bbf3fdc593ed7b68fc52be4788357b92605c7ec8de0172549,2123588,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-008,FRWF_Asset_Completion/props/PRP-008_wood_pallet.glb,0f76a45a35d8403d26735fad62f720e5a630bd88d27023da0318fd0e4e4c9529,2062584,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-009,FRWF_Asset_Completion/props/PRP-009_rubber_tire.glb,cde2d05e90a2b9227172846c280f719dce6f53846eb82538a887ccd083b69a3f,3333248,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-010,FRWF_Asset_Completion/props/PRP-010_concrete_block.glb,551141be6862c19ca558baa1c8a826da5858cbb4696d23405c456e8a5f40f572,3052212,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-011,FRWF_Asset_Completion/props/PRP-011_tripod_work_light.glb,059558cd709d3ac0141254eef290762fa11297c42e1e58fd2f3edc3c6ad4748e,11666880,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-012,FRWF_Asset_Completion/props/PRP-012_crowd_barricade.glb,258bdffcab39d31a99ce0e8a3beba1e897bfa4eb83421090c40a5f0f488a0b4b,8650584,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-013,FRWF_Asset_Completion/props/PRP-013_bleachers.glb,5e6c6dc6a550310de83d18bb9cd9122b0cf8bf9d4c9771d5733968b7c73443c0,7384364,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-014,FRWF_Asset_Completion/props/PRP-014_storage_rack.glb,4eccd469c3231069bc3a29115a68dbf70dec76089d68c0eb0a2a9a495d5ad00d,7301680,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-015,FRWF_Asset_Completion/props/PRP-015_speaker_stack.glb,7312bd47bd7a4d33f94b705252428c91e910b489dcaec8b7946aac8b3d5f426a,7955396,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-016,FRWF_Asset_Completion/props/PRP-016_cable_bundle.glb,843da88f8e793cd6ae226a18262a875a17e8926b086baefa50ca6dbdbefebb97,3142076,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-017,FRWF_Asset_Completion/props/PRP-017_changing_bench.glb,8021ce8f64f5cfa0afaaa0c73c13a448985bdf32406bea3b091332207adebb90,5294504,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
PRP-018,FRWF_Asset_Completion/props/PRP-018_fluorescent_fixture.glb,ddef5b69d7d91393caed4a714b3cb199976155b0ee37b78ede88d79177b4045d,6033812,C,planned; runtime acceptance pending,Classify interactive versus fixed dressing before import,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
RNG-002,FRWF_Asset_Completion/ring/RNG-002_ring_post.glb,29894e788f0ece38147d59ca027a04fa773391686a9090ef13820c9ecf90846c,9891092,B,planned; runtime acceptance pending,Gameplay-aligned ring component,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
RNG-003,FRWF_Asset_Completion/ring/RNG-003_rope_section.glb,f09f78bc774bd555ffc5dfe46d257e60e6995c7a995b144b319f9fcad7c88d56,49964,B,planned; runtime acceptance pending,Gameplay-aligned ring component,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
RNG-005,FRWF_Asset_Completion/ring/RNG-005_ring_apron.glb,f9abd5eeb7649d3124b7e05357e57b2f2799a80cae3c199e17361bc83182f0e5,1564068,B,planned; runtime acceptance pending,Gameplay-aligned ring component,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
RNG-006,FRWF_Asset_Completion/ring/RNG-006_ring_canvas.glb,c8e69470505d9d193fd62b9885e9ed83254ecdcf415b3d2c1d31d7d33593284f,2289152,B,planned; runtime acceptance pending,Gameplay-aligned ring component,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
RNG-007,FRWF_Asset_Completion/ring/RNG-007_ring_steps.glb,4172239f94be996a411b686b1016b040b998062be30f6c459b65ec9175049b9f,7751692,B,planned; runtime acceptance pending,Gameplay-aligned ring component,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
SCN-001,FRWF_Asset_Completion/scenes/SCN-001_backstage.glb,364b06530b698ce2ee59917792109aa7f920d30c13434a448638995f486f71d0,40232896,F,planned; runtime acceptance pending,Layout reference and selective decomposition; avoid duplicate whole-scene load,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
SCN-002,FRWF_Asset_Completion/scenes/SCN-002_ringside.glb,7bc9ce42c8bfcb96cbe90d8dcf70c25f3eae15d2d88b2dc4bcad904b5e954fb9,62565376,F,planned; runtime acceptance pending,Layout reference and selective decomposition; avoid duplicate whole-scene load,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
